episode_id,family,policy_id,block_id,goal,scenario,accepted_valid,success,failure_stage,failure_label,trigger_eligible,event_delivered,event_observed,motion_truncated_by_release,intervention_exposure_label
online_correction_v4-C6-pilot-00-44aafa4fd91158a4,C6,cosmos3_nano_droid,0,inside,original_sham,1,0,transport,transport_incomplete,1,0,0,0,
online_correction_v4-C6-pilot-01-ec2115369e9557f7,C6,cosmos3_nano_droid,1,inside,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-02-96d3e0e893351760,C6,cosmos3_nano_droid,2,inside,original_sham,1,0,transport,transport_incomplete,1,0,0,0,
online_correction_v4-C6-pilot-03-43e1c8fefe5a0ee2,C6,cosmos3_nano_droid,3,inside,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-04-b27786ef88f82140,C6,cosmos3_nano_droid,4,inside,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-05-e0c92f26ed8943e9,C6,cosmos3_nano_droid,5,inside,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-06-3d29e06a73ae1942,C6,cosmos3_nano_droid,6,inside,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-07-7aaa47b1e35704c0,C6,cosmos3_nano_droid,7,inside,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-08-c5627804bbb26127,C6,cosmos3_nano_droid,8,inside,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-09-4fd26267810d10c7,C6,cosmos3_nano_droid,9,inside,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-10-3241afa9d343d421,C6,cosmos3_nano_droid,10,inside,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-11-fd87d96de9d33a94,C6,cosmos3_nano_droid,11,inside,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-12-a7d4e5f4e99822cd,C6,cosmos3_nano_droid,12,inside,destination_static,1,0,wrong_relation,wrong_goal_region,1,0,0,1,
online_correction_v4-C6-pilot-13-1dc732ad826acf3d,C6,cosmos3_nano_droid,13,inside,destination_static,1,0,wrong_relation,wrong_goal_region,1,0,0,1,
online_correction_v4-C6-pilot-14-5175e4252211484a,C6,cosmos3_nano_droid,14,inside,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-15-abe4828d41c933d2,C6,cosmos3_nano_droid,15,inside,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-16-ca02239d48b0228d,C6,cosmos3_nano_droid,16,inside,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-17-20a31c75e158da09,C6,cosmos3_nano_droid,17,inside,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-18-f6a8f921c774c3d1,C6,cosmos3_nano_droid,18,inside,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-19-1eab4eaad447c1ad,C6,cosmos3_nano_droid,19,inside,move_stop,1,0,wrong_relation,wrong_goal_region,1,1,0,1,
online_correction_v4-C6-pilot-20-62e42f3571d42cbe,C6,cosmos3_nano_droid,20,inside,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-21-c19d7a011dcae22c,C6,cosmos3_nano_droid,21,inside,move_stop,1,0,transport,transport_incomplete,1,1,0,0,
online_correction_v4-C6-pilot-22-11f8ab7c27ab4f34,C6,cosmos3_nano_droid,22,inside,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C6-pilot-23-fd9e333d78110671,C6,cosmos3_nano_droid,23,inside,move_stop,1,0,pickup,no_grasp,0,0,0,0,
